i	sha	prompt_len	output_len
0	3816a5e63ee4ed5b	685	49
1	2bd39aabeec1192a	875	165
2	0939f6964bdc2938	81	188
3	e9673b462544ddef	166	783
4	eaefbfbdf1b3ff04	239	400
5	43525b3df5012adf	5	275
6	4ae01818145c2f7f	291	41
7	17f9a8823d29c72c	182	536
8	e43595b093273f81	23	234
9	92654df00517dc01	204	85
10	b8b5f7870c6ff178	240	46
11	8943ae990feaa27f	16	335
12	2d028cc7e6f1f050	131	818
13	2b1217bd4af79800	556	12
14	34cd887462132a0d	371	72
15	49bc596e5ee400a5	362	8
16	1366408e62b63dbe	17	58
17	cfa70e11c3e494ca	300	38
18	a27e5dde0d6b5cf9	6	306
19	9b59af210e328c55	11	286
20	43411ec55bc9d238	446	30
21	aed0700313227b80	183	47
22	36eb1c0def4e4560	875	333
23	438531b1e7f25c8c	251	89
24	9ec71c463d06a503	361	8
25	6b018b1ffc5e8747	154	271
26	39671a7cb0a9c553	128	20
27	f4b8db8c44452189	457	22
28	aa4c3fbeba24c281	278	19
29	c8bd851e80850c8b	334	26
30	a7e06232ef089d9a	48	136
31	d8c318e51b562e57	24	401
32	01319218cfc8d86b	10	155
33	5823083caad22202	21	222
34	a2a806333a84b45c	142	201
35	0510d24df731e7ff	604	595
36	6066a1fb7e6d96e2	21	664
37	844c5e102d34205a	33	50
38	bd498a17e9b5d010	23	202
39	bdfb0eba58631b8d	35	683
40	fcb4dbd0dd5184b9	744	13
41	eff96d36691d0398	297	70
42	87e9eb312f803cc3	293	18
43	21843ee8fce72b71	301	52
44	9d2f8e83185af871	23	218
45	1e5da9e12293219d	734	792
46	d6d3940b5c6305ab	43	25
47	30948dbdeb042b68	425	7
48	7cb2debc4d721362	186	23
49	28c7ecb9c0ccb2c0	10	408
50	dc8d25b4b8a29c1a	455	8
51	d56049d71589d90b	99	7
52	8ecc1b359e6dd75a	40	171
53	42bc51202743a921	482	59
54	a4c0674f000155f9	11	327
55	17487161ca4962e6	6	312
56	157b1c111f138e49	201	227
57	a34e50742e6be4dc	276	161
58	ca9782ca2c95d9f1	10	158
59	08106aba0b9a8e0a	398	172
60	5a278b3b6f15da5e	788	16
61	babb22ff5700d4ff	11	373
62	adcb8ea419a0f625	11	361
63	a7e660481b7ac539	12	400
64	2ce9de0e0a3b1db6	625	6
65	7ce3b41bda9e6d09	62	443
66	394db4418891a248	687	620
67	f004db3b392eb767	450	8
68	fc4623e0dffb65cd	15	309
69	b95ddff066c22021	632	19
70	08d3115ba30f7217	15	161
71	19401d5cd7c00bb3	293	20
72	e4057fea2e6a48e7	818	44
73	7371370141198ceb	25	142
74	052fc65ffe17fda5	64	79
75	5f79c8ca1d900a8a	69	9
76	2d7621c7cbb0a482	136	337
77	65a53ca8bdb3d3e1	494	16
78	a52fc6c2d0b142b7	294	18
79	7b388fdc34f5183a	347	350
80	fe7c54cfc108c198	780	25
81	babf206cc8a7b4e6	10	163
82	5021f4053b70357c	742	12
83	0384fd5551f99a21	437	32
84	2905f7ebdcf3335a	326	447
85	f8ccf58413766870	20	731
86	67cc16fc1ed19787	24	393
87	dbf0a7a6528ebccf	8	636
88	acba1ba69bd317c7	35	38
89	9d8e3d940534d6c2	80	61
90	dca87f71b910af48	24	411
91	147f1ef8ab68a35e	16	367
92	1e3de3b4bb4c5d66	71	289
93	81a4a37f4fea2f05	49	518
94	336b72a2603c8a1c	93	144
95	9cd92c0a98daa4b2	308	8
96	976ed2ea67d1c8da	417	465
97	2cc7391a30c949a7	275	420
98	fc06722a82d0fc3b	41	298
99	79d56bf7ee056269	74	325
100	05eb2e7edc74ad7e	435	7
101	df61cb8df9c116e6	282	377
102	fabe7f39d9890f3d	789	429
103	03b54fc139ab7b1a	5	99
104	5ede075516819140	95	30
105	ed4da3a6b9202745	180	78
106	38a5eea3607a73f6	11	321
107	0a44a206f8baeb5a	26	254
108	8a3c7a830961683d	11	194
109	9da763d2beb6811c	577	9
110	6ef7d4803ede08bb	5	78
111	753b4459fd0aeccf	96	15
112	c31d09ca53c4c96a	294	11
113	8de11d6b85a4d0ed	22	296
114	e6f438db39fc37ae	416	17
115	93cc21fe4379bb0b	348	4
116	e67393d3dceb4f63	164	30
117	ada77ef7e988717b	148	12
118	279a5f1f91ce36e2	108	60
119	bce9be11e53729ab	520	60
120	5b03c556e57ac52c	16	733
121	82e8e429e3940b6a	7	81
122	d56ef916b11a4178	642	34
123	d547519e8919ba33	14	198
124	b71db02cb7619d97	425	38
125	ff3b4a756e0ad33a	28	49
126	93cb5623254e1431	72	635
127	cc8670df3d129f6a	359	7
128	19271e71fc9fe03a	263	707
129	aa029feaa4a199c3	25	380
130	487b00880b3cf936	214	147
131	3ed57d2944d06351	180	41
132	78548757672b92be	85	101
133	775ad46f67f80e7d	83	433
134	c0299afffc69c8cd	404	342
135	b16534d77f871feb	249	14
136	5195e9510fdf666b	771	11
137	32c162d4642b6f51	28	159
138	a23978da8438c9e6	19	749
139	468ca10592b1df92	129	482
140	5a9288dc21030d24	284	772
141	72a50e821f0c2079	358	34
142	95648125cabe6000	189	9
143	cde38a95f8692deb	16	539
144	c3ca4732e8358446	7	82
145	702bb55661a04ee9	372	590
146	9a2d60bc0c4ffc83	74	273
147	2e2e519392a6a978	470	21
148	be46e1cdd8afba46	655	16
149	07f6d2fe365258c8	801	6
150	abd181508dedbf37	6	261
151	7a0aefca84fce9e4	69	355
152	bec69f85f15d1d01	312	16
153	e3561c9a6994b304	48	152
154	a5d9d3e8d6408c45	596	16
155	b82f33d7992bd262	34	442
156	89c9b0974da8ea74	60	375
157	3c0748b043e181fc	4	157
158	f4b650a750b32caf	147	17
159	f06ded2822d5304c	285	61
160	c621698625d8044d	104	153
161	c8c32191233b5453	12	114
162	24055db59fe3597c	11	85
163	274beb867e8a259d	430	225
164	1a9d081cad0e3890	14	345
165	806d31b5152e6fb6	24	139
166	02bc95ff263c48c4	337	13
167	7189e8c4b9c184ba	16	264
168	8bd89b000152c002	19	307
169	5bc577d9cbf08a8c	7	191
170	67136048b0e71b5f	12	1181
171	eca2a33a8fea9063	49	236
172	0ebd7265fc7ef4ae	396	360
173	17d469235dd8b502	20	294
174	4a7ab910ca134bb6	224	6
175	8bfb09a167073af4	134	42
176	993820a742982a9b	167	11
177	9f93cc66e993bb35	10	304
178	6e510b74b4030b5e	14	225
179	484eacfd9d2a4fb4	532	10
180	7d09c6af9c1230b4	390	86
181	a89b8e9799a0a20e	26	147
182	4dc2b4bdd0abbc84	12	450
183	16c291303be14783	17	300
184	4a90be15532b6660	18	540
185	e65dffab6be4002a	20	830
186	0485b080bc2fbe59	45	31
187	3760e722a0a1bebb	746	9
188	1855d08ee0b44eb6	17	29
189	52f6e7a2a5d92a4e	434	16
190	8050f3d6d94a61bd	202	10
191	805fd0bb25089428	574	59
192	3cc3485797092757	640	109
193	00710443345ddc2c	14	207
194	a0d474184d9cae2d	603	24
195	7ffc2073be6151d4	35	385
196	41c447091abb4cfd	138	51
197	70fcdb8707106223	298	47
198	d532aeef59ff85c9	67	5
199	31851951772ba424	444	29
200	c6841ea6f9fc9cb6	721	29
201	b7655b01dbf0c16d	7	300
202	4d673b7b5ca13380	32	308
203	37f5882aac7b038b	257	12
204	1f3e5433e9943ae6	72	8
205	3905fbee7315359b	165	607
206	eec26bd57f2ab892	332	805
207	877ec35763b1b797	20	223
208	cb72ebf60b696320	216	21
209	ee0b46afa241de92	157	209
210	1ad697d6e2ff6cba	126	18
211	493f89b691161520	10	94
212	4681d8a35530fdb8	48	91
213	ba58111ac3c2501f	21	229
214	d2e215ce36b2d0f2	36	323
215	2d6cff5f7a65c456	16	534
216	af78f19e17792c0e	112	41
217	d32a84070c3b0902	610	243
218	b9194ed21ed05eed	54	40
219	136c341cd2687307	750	6
220	026b954ed608f551	665	21
221	6a04036baf885363	62	93
222	453b90031cba73e9	23	517
223	ab0ad73db088bb3b	9	201
224	bc92d1828ea2f968	115	13
225	a2409f8ce233f4d4	13	177
226	d0f69c93906a4bb9	585	1147
227	c71a92ba9ed7d3e4	638	10
228	4618efd3bc73801a	5	285
229	f5f9e6296c15a659	24	562
230	eb6afd449cc73af2	488	8
231	f81298d9dc26fcaa	8	198
232	015dd93afcb8494a	6	31
233	317c96cfb9e8ac04	397	25
234	48d5c13bb719be10	340	17
235	a5ae8d0ebd4c1a7f	60	556
236	b8dc6f1eb5d2b92a	27	165
237	c7aa81bcec291ffd	11	650
238	5dc45cb9ce208675	16	434
239	59b99bb07b4c7258	475	78
240	838e0ea082a1187a	13	352
241	3382ddb8574b24b3	290	44
242	71d754a56c6d114d	396	55
243	1fade1948438df21	347	15
244	e994a4cdb3be8a49	20	279
245	35c06ae5aa51de85	12	150
246	1e5379d34a22f04f	288	26
247	e4ab31602c3854bd	14	12
248	04238932dcb53690	394	8
249	680e3d2aca7362ab	47	429
250	48895b70704083b3	18	772
251	f0aa9662bfc0086e	339	46
252	5a1f02a3ef519b0a	8	75
253	08f37b7e1939033b	639	139
254	0cd01a6da1a54dad	16	282
255	259d9fb684fca794	11	98
256	1f85ebb646d0f154	763	282
257	124ecadccce872b8	32	278
258	aaa9943d49cbae5b	8	202
259	5df5a76515330d39	10	105
260	ae52951fe257b96d	9	61
261	677132f17c4e0883	13	210
262	23340c3af38e9732	8	41
263	7343793bb91b23d9	8	287
264	ca82bfd1ef6838db	18	276
265	ee4a50da6d6e5a7c	55	176
266	96c9d9c96dde0b86	935	113
267	f9c419ed89a47072	679	694
268	ade23274a2e563d8	15	84
269	b0366123f55db384	39	464
270	52935d775d945608	62	425
271	757f4826694ab891	8	64
272	ada1f98f982987e6	37	609
273	73bc65a78b279186	596	6
